Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
2025-03-10,,USD,medium,ISM Manufacturing Prices,,58.0,62.4
2025-03-10,,USD,high,FOMC Member Goolsbee Speaks,,,
2025-03-10,,USD,low,Loan Officer Survey,,,
2025-03-10,,AUD,high,RBA Monetary Policy Statement,,,
2025-03-10,,AUD,high,RBA Rate Statement,,,
2025-03-17,,USD,low,Daylight Saving Time Shift,,,
2025-03-17,,AUD,unknown,Building Approvals m/m,,12.0%,5.1%
2025-03-17,,AUD,unknown,Household Spending m/m,,0.2%,0.5%
2025-03-17,,USD,medium,ISM Manufacturing Prices,,58.0,62.4
2025-03-17,,USD,high,FOMC Member Goolsbee Speaks,,,
2025-03-17,,USD,low,Loan Officer Survey,,,
2025-03-17,,AUD,high,RBA Monetary Policy Statement,,,
2025-03-17,,AUD,high,RBA Rate Statement,,,
2025-03-24,,USD,low,Daylight Saving Time Shift,,,
2025-03-24,,AUD,unknown,Building Approvals m/m,,12.0%,5.1%
2025-03-24,,AUD,unknown,Household Spending m/m,,0.2%,0.5%
2025-03-24,,USD,medium,ISM Manufacturing Prices,,58.0,62.4
2025-03-24,,USD,high,FOMC Member Goolsbee Speaks,,,
2025-03-24,,USD,low,Loan Officer Survey,,,
2025-03-24,,AUD,high,RBA Monetary Policy Statement,,,
2025-03-24,,AUD,high,RBA Rate Statement,,,
2025-03-31,,USD,low,Daylight Saving Time Shift,,,
2025-03-31,,AUD,unknown,Building Approvals m/m,,12.0%,5.1%
2025-03-31,,AUD,unknown,Household Spending m/m,,0.2%,0.5%
2025-03-31,,USD,medium,ISM Manufacturing Prices,,58.0,62.4
2025-03-31,,USD,high,FOMC Member Goolsbee Speaks,,,
2025-03-31,,USD,low,Loan Officer Survey,,,
2025-03-31,,AUD,high,RBA Monetary Policy Statement,,,
2025-03-31,,AUD,high,RBA Rate Statement,,,
2025-04-07,,USD,low,Daylight Saving Time Shift,,,
2025-04-07,,AUD,unknown,Building Approvals m/m,,12.0%,5.1%
2025-04-07,,AUD,unknown,Household Spending m/m,,0.2%,0.5%
2025-04-07,,USD,medium,ISM Manufacturing Prices,,58.0,62.4
2025-04-07,,USD,high,FOMC Member Goolsbee Speaks,,,
2025-04-07,,USD,low,Loan Officer Survey,,,
